timestamp,aoa_deg,algo,mode
2018-03-09T17:05:58.806540,98.9,ROOTMUSIC,FPGA
2018-03-09T17:05:59.339754,84.6,ROOTMUSIC,FPGA
2018-03-09T17:05:59.872506,141.1,ROOTMUSIC,FPGA
2018-03-09T17:06:00.430056,37.3,ROOTMUSIC,FPGA
2018-03-09T17:06:00.960657,53.6,ROOTMUSIC,FPGA
2018-03-09T17:06:01.484717,96.2,ROOTMUSIC,FPGA
2018-03-09T17:06:02.012185,67.4,ROOTMUSIC,FPGA
2018-03-09T17:06:02.546167,65.8,ROOTMUSIC,FPGA
2018-03-09T17:06:03.072577,21.9,ROOTMUSIC,FPGA
2018-03-09T17:06:03.600334,151.8,ROOTMUSIC,FPGA
2018-03-09T17:06:04.128095,164.1,ROOTMUSIC,FPGA
2018-03-09T17:06:04.657758,164.1,ROOTMUSIC,FPGA
2018-03-09T17:06:05.186430,67.5,ROOTMUSIC,FPGA
2018-03-09T17:06:05.713617,71.8,ROOTMUSIC,FPGA
2018-03-09T17:06:06.239941,147.7,ROOTMUSIC,FPGA
2018-03-09T17:06:06.768558,133.6,ROOTMUSIC,FPGA
2018-03-09T17:06:07.297611,83.5,ROOTMUSIC,FPGA
2018-03-09T17:06:07.831935,41.5,ROOTMUSIC,FPGA
2018-03-09T17:06:08.389016,142.3,ROOTMUSIC,FPGA
2018-03-09T17:06:08.917383,65.5,ROOTMUSIC,FPGA
2018-03-09T17:06:09.445759,54.4,ROOTMUSIC,FPGA
2018-03-09T17:06:09.973397,49.5,ROOTMUSIC,FPGA
2018-03-09T17:06:10.502001,45.1,ROOTMUSIC,FPGA
2018-03-09T17:06:11.029539,18.5,ROOTMUSIC,FPGA
2018-03-09T17:06:11.558264,121.2,ROOTMUSIC,FPGA
2018-03-09T17:06:12.087129,132.4,ROOTMUSIC,FPGA
2018-03-09T17:06:12.616339,144.7,ROOTMUSIC,FPGA
2018-03-09T17:06:13.143176,156.4,ROOTMUSIC,FPGA
2018-03-09T17:06:13.672715,138.0,ROOTMUSIC,FPGA
2018-03-09T17:06:14.200428,144.7,ROOTMUSIC,FPGA
2018-03-09T17:06:14.728970,165.5,ROOTMUSIC,FPGA
2018-03-09T17:06:15.256787,40.1,ROOTMUSIC,FPGA
2018-03-09T17:06:15.786804,163.0,ROOTMUSIC,FPGA
2018-03-09T17:06:16.313518,39.2,ROOTMUSIC,FPGA
2018-03-09T17:06:16.841475,61.4,ROOTMUSIC,FPGA
2018-03-09T17:06:17.369167,163.2,ROOTMUSIC,FPGA
2018-03-09T17:06:17.899870,39.8,ROOTMUSIC,FPGA
2018-03-09T17:06:18.428237,14.0,ROOTMUSIC,FPGA
2018-03-09T17:06:18.956631,49.0,ROOTMUSIC,FPGA
2018-03-09T17:06:19.482591,34.2,ROOTMUSIC,FPGA
2018-03-09T17:06:20.012796,32.3,ROOTMUSIC,FPGA
2018-03-09T17:06:20.548234,44.7,ROOTMUSIC,FPGA
2018-03-09T17:06:21.106216,35.1,ROOTMUSIC,FPGA
2018-03-09T17:06:21.666237,159.7,ROOTMUSIC,FPGA
2018-03-09T17:06:22.193264,30.3,ROOTMUSIC,FPGA
2018-03-09T17:06:22.754666,54.7,ROOTMUSIC,FPGA
2018-03-09T17:06:23.313941,32.0,ROOTMUSIC,FPGA
