timestamp,aoa_deg,algo,mode
2026-04-05T04:48:50.891015,160.9,ROOTMUSIC,ARM
2026-04-05T04:48:51.051070,5.6,ROOTMUSIC,ARM
2026-04-05T04:48:51.220933,33.7,ROOTMUSIC,ARM
2026-04-05T04:48:51.390948,11.3,ROOTMUSIC,ARM
2026-04-05T04:48:51.542378,28.9,ROOTMUSIC,ARM
2026-04-05T04:48:51.720780,51.2,ROOTMUSIC,ARM
2026-04-05T04:48:51.881096,31.4,ROOTMUSIC,ARM
2026-04-05T04:48:52.060699,32.3,ROOTMUSIC,ARM
2026-04-05T04:48:52.219901,34.1,ROOTMUSIC,ARM
2026-04-05T04:48:52.390951,32.4,ROOTMUSIC,ARM
2026-04-05T04:48:52.560657,26.6,ROOTMUSIC,ARM
2026-04-05T04:48:52.718992,37.0,ROOTMUSIC,ARM
2026-04-05T04:48:52.900657,36.8,ROOTMUSIC,ARM
2026-04-05T04:48:53.055065,37.0,ROOTMUSIC,ARM
2026-04-05T04:48:53.230728,34.8,ROOTMUSIC,ARM
2026-04-05T04:48:53.391467,35.9,ROOTMUSIC,ARM
2026-04-05T04:48:53.570716,37.9,ROOTMUSIC,ARM
2026-04-05T04:48:53.740727,33.6,ROOTMUSIC,ARM
2026-04-05T04:48:53.910737,35.4,ROOTMUSIC,ARM
2026-04-05T04:48:54.080728,27.6,ROOTMUSIC,ARM
2026-04-05T04:48:54.241317,34.3,ROOTMUSIC,ARM
2026-04-05T04:48:54.411353,39.9,ROOTMUSIC,ARM
2026-04-05T04:48:54.581074,35.6,ROOTMUSIC,ARM
2026-04-05T04:48:54.751082,36.7,ROOTMUSIC,ARM
2026-04-05T04:48:54.900146,35.0,ROOTMUSIC,ARM
2026-04-05T04:48:55.066633,28.9,ROOTMUSIC,ARM
2026-04-05T04:48:55.250960,32.5,ROOTMUSIC,ARM
2026-04-05T04:48:55.421088,26.9,ROOTMUSIC,ARM
2026-04-05T04:48:55.571895,24.6,ROOTMUSIC,ARM
2026-04-05T04:48:55.751103,27.0,ROOTMUSIC,ARM
2026-04-05T04:48:55.914280,29.2,ROOTMUSIC,ARM
2026-04-05T04:48:56.091076,30.9,ROOTMUSIC,ARM
2026-04-05T04:48:56.261078,30.5,ROOTMUSIC,ARM
2026-04-05T04:48:56.430969,29.6,ROOTMUSIC,ARM
2026-04-05T04:48:56.590985,29.1,ROOTMUSIC,ARM
