angle,path,n_raw,n_used,mean,std,min,max,cal_used
50,arm,591,300,134.93233333333333,9.781190803475937,114.0,164.1,53.19
50,fpga,79,38,126.4236842105263,30.75252953085698,11.4,153.6,53.19
70,arm,592,466,149.55407725321888,0.8971846685621515,148.0,152.1,53.19
70,fpga,81,65,121.05999999999999,1.0632791261000096,120.0,126.5,53.19
90,arm,600,474,89.61455696202532,0.3173941099979094,88.7,90.2,51.96
90,fpga,75,59,70.91525423728814,0.28576187296782685,69.9,71.6,51.96
110,arm,589,463,74.93995680345573,1.562791651835832,68.6,79.4,53.19
110,fpga,80,44,56.075,1.4720852161885638,54.0,58.7,53.19
130,arm,597,197,98.37055837563452,0.7578475109751468,96.3,100.9,53.19
130,fpga,87,71,83.64788732394366,2.1594218243998005,70.4,85.9,53.19
