angle,path,n_raw,n_used,mean,std,min,max,cal_used
50,arm,339,319,52.09780564263323,0.12168192309588219,51.8,52.5,
50,fpga,531,501,60.55369261477046,0.7102473775561225,58.5,62.2,
70,arm,339,319,73.25360501567397,0.15834595347230537,72.8,73.6,
70,fpga,536,506,80.02114624505928,0.2241981760282346,79.2,80.7,
90,arm,344,324,92.49907407407406,0.1502291564564089,92.2,93.1,
90,fpga,532,502,99.08227091633466,0.17031268153538426,98.7,100.2,
110,arm,344,324,105.36203703703704,0.38526680697394594,104.0,106.6,
110,fpga,542,512,112.405078125,0.1544309475578024,111.9,112.9,
130,arm,337,317,121.61955835962148,1.0238898560137875,117.1,126.7,
130,fpga,535,505,130.3809900990099,0.21674680271938873,129.4,131.1,
