# baseband_freq_hz,power_dbfs_per_hz
-500000.0,-91.120
-499877.9,-91.150
-499755.9,-91.162
-499633.8,-91.193
-499511.7,-91.189
-499389.6,-91.173
-499267.6,-91.183
-499145.5,-91.187
-499023.4,-91.162
-498901.4,-91.177
-498779.3,-91.187
-498657.2,-91.198
-498535.2,-91.168
-498413.1,-91.164
-498291.0,-91.138
-498168.9,-91.118
-498046.9,-91.148
-497924.8,-91.146
-497802.7,-91.131
-497680.7,-91.097
-497558.6,-91.086
-497436.5,-91.107
-497314.5,-91.068
-497192.4,-91.035
-497070.3,-91.046
-496948.2,-91.016
-496826.2,-90.990
-496704.1,-90.977
-496582.0,-90.946
-496460.0,-90.918
-496337.9,-90.884
-496215.8,-90.851
-496093.8,-90.797
-495971.7,-90.792
-495849.6,-90.796
-495727.5,-90.769
-495605.5,-90.744
-495483.4,-90.708
-495361.3,-90.676
-495239.3,-90.631
-495117.2,-90.600
-494995.1,-90.571
-494873.0,-90.542
-494751.0,-90.495
-494628.9,-90.494
-494506.8,-90.457
-494384.8,-90.421
-494262.7,-90.404
-494140.6,-90.369
-494018.6,-90.374
-493896.5,-90.326
-493774.4,-90.297
-493652.3,-90.271
-493530.3,-90.228
-493408.2,-90.190
-493286.1,-90.174
-493164.1,-90.161
-493042.0,-90.149
-492919.9,-90.115
-492797.9,-90.103
-492675.8,-90.084
-492553.7,-90.029
-492431.6,-90.004
-492309.6,-89.982
-492187.5,-89.985
-492065.4,-89.961
-491943.4,-89.958
-491821.3,-89.948
-491699.2,-89.918
-491577.1,-89.903
-491455.1,-89.900
-491333.0,-89.902
-491210.9,-89.895
-491088.9,-89.867
-490966.8,-89.828
-490844.7,-89.791
-490722.7,-89.773
-490600.6,-89.778
-490478.5,-89.761
-490356.4,-89.775
-490234.4,-89.776
-490112.3,-89.755
-489990.2,-89.772
-489868.2,-89.746
-489746.1,-89.735
-489624.0,-89.740
-489502.0,-89.739
-489379.9,-89.733
-489257.8,-89.708
-489135.7,-89.708
-489013.7,-89.750
-488891.6,-89.759
-488769.5,-89.762
-488647.5,-89.765
-488525.4,-89.752
-488403.3,-89.785
-488281.2,-89.771
-488159.2,-89.800
-488037.1,-89.804
-487915.0,-89.824
-487793.0,-89.836
-487670.9,-89.847
-487548.8,-89.892
-487426.8,-89.921
-487304.7,-89.952
-487182.6,-89.993
-487060.5,-90.018
-486938.5,-90.027
-486816.4,-90.034
-486694.3,-90.054
-486572.3,-90.120
-486450.2,-90.112
-486328.1,-90.150
-486206.1,-90.174
-486084.0,-90.234
-485961.9,-90.285
-485839.8,-90.296
-485717.8,-90.336
-485595.7,-90.352
-485473.6,-90.379
-485351.6,-90.408
-485229.5,-90.442
-485107.4,-90.468
-484985.4,-90.503
-484863.3,-90.578
-484741.2,-90.650
-484619.1,-90.654
-484497.1,-90.681
-484375.0,-90.754
-484252.9,-90.777
-484130.9,-90.826
-484008.8,-90.847
-483886.7,-90.889
-483764.6,-90.940
-483642.6,-90.973
-483520.5,-91.013
-483398.4,-91.069
-483276.4,-91.112
-483154.3,-91.167
-483032.2,-91.213
-482910.2,-91.258
-482788.1,-91.341
-482666.0,-91.341
-482543.9,-91.367
-482421.9,-91.381
-482299.8,-91.442
-482177.7,-91.518
-482055.7,-91.547
-481933.6,-91.567
-481811.5,-91.582
-481689.5,-91.649
-481567.4,-91.690
-481445.3,-91.729
-481323.2,-91.745
-481201.2,-91.761
-481079.1,-91.780
-480957.0,-91.818
-480835.0,-91.838
-480712.9,-91.879
-480590.8,-91.899
-480468.8,-91.906
-480346.7,-91.954
-480224.6,-91.916
-480102.5,-91.994
-479980.5,-92.014
-479858.4,-91.954
-479736.3,-91.947
-479614.3,-91.963
-479492.2,-91.936
-479370.1,-91.946
-479248.0,-91.901
-479126.0,-91.892
-479003.9,-91.915
-478881.8,-91.867
-478759.8,-91.881
-478637.7,-91.819
-478515.6,-91.859
-478393.6,-91.766
-478271.5,-91.732
-478149.4,-91.691
-478027.3,-91.609
-477905.3,-91.654
-477783.2,-91.551
-477661.1,-91.541
-477539.1,-91.519
-477417.0,-91.478
-477294.9,-91.413
-477172.9,-91.365
-477050.8,-91.331
-476928.7,-91.290
-476806.6,-91.200
-476684.6,-91.131
-476562.5,-91.081
-476440.4,-91.007
-476318.4,-91.017
-476196.3,-90.916
-476074.2,-90.888
-475952.1,-90.826
-475830.1,-90.757
-475708.0,-90.705
-475585.9,-90.626
-475463.9,-90.580
-475341.8,-90.521
-475219.7,-90.444
-475097.7,-90.384
-474975.6,-90.346
-474853.5,-90.226
-474731.4,-90.214
-474609.4,-90.142
-474487.3,-90.090
-474365.2,-90.043
