# baseband_freq_hz,power_dbfs_per_hz
-500000.0,-90.416
-499877.9,-90.170
-499755.9,-86.746
-499633.8,-89.003
-499511.7,-85.702
-499389.6,-89.999
-499267.6,-91.647
-499145.5,-83.070
-499023.4,-82.045
-498901.4,-90.191
-498779.3,-84.800
-498657.2,-87.205
-498535.2,-82.084
-498413.1,-86.897
-498291.0,-90.652
-498168.9,-89.260
-498046.9,-89.501
-497924.8,-88.949
-497802.7,-86.134
-497680.7,-89.107
-497558.6,-89.465
-497436.5,-86.533
-497314.5,-82.100
-497192.4,-80.454
-497070.3,-85.157
-496948.2,-90.483
-496826.2,-91.024
-496704.1,-84.957
-496582.0,-83.644
-496460.0,-88.994
-496337.9,-90.518
-496215.8,-88.838
-496093.8,-87.179
-495971.7,-81.213
-495849.6,-82.375
-495727.5,-85.857
-495605.5,-88.459
-495483.4,-88.013
-495361.3,-90.214
-495239.3,-82.725
-495117.2,-81.713
-494995.1,-82.891
-494873.0,-79.482
-494751.0,-78.163
-494628.9,-87.710
-494506.8,-87.001
-494384.8,-86.274
-494262.7,-81.157
-494140.6,-85.326
-494018.6,-87.766
-493896.5,-83.390
-493774.4,-81.315
-493652.3,-89.343
-493530.3,-83.452
-493408.2,-78.305
-493286.1,-77.535
-493164.1,-88.325
-493042.0,-88.400
-492919.9,-82.544
-492797.9,-83.950
-492675.8,-85.330
-492553.7,-86.698
-492431.6,-89.135
-492309.6,-86.148
-492187.5,-81.410
-492065.4,-79.568
-491943.4,-82.117
-491821.3,-85.441
-491699.2,-88.107
-491577.1,-84.394
-491455.1,-76.805
-491333.0,-78.650
-491210.9,-86.297
-491088.9,-90.517
-490966.8,-90.250
-490844.7,-90.262
-490722.7,-87.347
-490600.6,-82.195
-490478.5,-81.246
-490356.4,-87.553
-490234.4,-87.982
-490112.3,-84.729
-489990.2,-84.527
-489868.2,-88.551
-489746.1,-84.583
-489624.0,-87.962
-489502.0,-88.368
-489379.9,-85.570
-489257.8,-82.722
-489135.7,-89.000
-489013.7,-82.228
-488891.6,-82.683
-488769.5,-83.563
-488647.5,-82.619
-488525.4,-82.571
-488403.3,-87.876
-488281.2,-89.654
-488159.2,-80.455
-488037.1,-80.833
-487915.0,-89.112
-487793.0,-79.201
-487670.9,-75.143
-487548.8,-76.130
-487426.8,-83.302
-487304.7,-84.529
-487182.6,-89.197
-487060.5,-87.476
-486938.5,-90.444
-486816.4,-85.797
-486694.3,-86.064
-486572.3,-83.459
-486450.2,-90.148
-486328.1,-83.613
-486206.1,-80.432
-486084.0,-87.451
-485961.9,-87.363
-485839.8,-88.453
-485717.8,-86.449
-485595.7,-84.309
-485473.6,-87.466
-485351.6,-80.428
-485229.5,-77.460
-485107.4,-82.966
-484985.4,-91.256
-484863.3,-90.720
-484741.2,-87.050
-484619.1,-86.394
-484497.1,-89.857
-484375.0,-82.779
-484252.9,-79.182
-484130.9,-83.636
-484008.8,-84.324
-483886.7,-80.670
-483764.6,-80.723
-483642.6,-85.914
-483520.5,-85.958
-483398.4,-82.325
-483276.4,-84.090
-483154.3,-87.009
-483032.2,-84.410
-482910.2,-80.724
-482788.1,-79.851
-482666.0,-84.475
-482543.9,-87.831
-482421.9,-87.401
-482299.8,-84.570
-482177.7,-82.936
-482055.7,-81.413
-481933.6,-82.895
-481811.5,-86.026
-481689.5,-86.604
-481567.4,-83.688
-481445.3,-84.141
-481323.2,-88.333
-481201.2,-88.630
-481079.1,-85.029
-480957.0,-85.489
-480835.0,-88.423
-480712.9,-87.851
-480590.8,-80.512
-480468.8,-77.936
-480346.7,-78.338
-480224.6,-83.165
-480102.5,-91.351
-479980.5,-90.535
-479858.4,-91.794
-479736.3,-84.746
-479614.3,-84.055
-479492.2,-81.873
-479370.1,-83.277
-479248.0,-81.726
-479126.0,-82.434
-479003.9,-85.919
-478881.8,-83.814
-478759.8,-90.290
-478637.7,-86.689
-478515.6,-82.795
-478393.6,-89.044
-478271.5,-83.409
-478149.4,-88.927
-478027.3,-86.370
-477905.3,-85.833
-477783.2,-86.703
-477661.1,-85.321
-477539.1,-84.622
-477417.0,-85.506
-477294.9,-87.400
-477172.9,-86.645
-477050.8,-84.960
-476928.7,-88.727
-476806.6,-87.247
-476684.6,-87.986
-476562.5,-89.530
-476440.4,-88.496
-476318.4,-83.302
-476196.3,-79.199
-476074.2,-80.656
-475952.1,-87.632
-475830.1,-89.496
-475708.0,-88.289
-475585.9,-83.177
-475463.9,-88.379
-475341.8,-85.780
-475219.7,-83.746
-475097.7,-86.812
-474975.6,-86.408
-474853.5,-88.051
-474731.4,-91.250
-474609.4,-89.993
-474487.3,-85.837
-474365.2,-86.187
-474243.2,-84.251
-474121.1,-85.104
-473999.0,-91.280
-473877.0,-90.664
-473754.9,-85.731
-473632.8,-91.442
-473510.7,-81.432
-473388.7,-78.768
-473266.6,-77.303
-473144.5,-79.674
-473022.5,-88.666
-472900.4,-90.395
-472778.3,-89.939
-472656.2,-87.387
-472534.2,-85.543
-472412.1,-88.118
-472290.0,-90.252
-472168.0,-91.237
-472045.9,-88.880
-471923.8,-86.430
-471801.8,-86.128
-471679.7,-87.855
-471557.6,-87.602
-471435.5,-82.158
-471313.5,-80.430
-471191.4,-80.289
-471069.3,-79.543
-470947.3,-82.139
-470825.2,-83.414
-470703.1,-83.967
-470581.1,-79.071
-470459.0,-77.250
-470336.9,-79.485
-470214.8,-79.818
-470092.8,-78.477
-469970.7,-81.626
-469848.6,-82.632
-469726.6,-83.318
-469604.5,-85.784
-469482.4,-80.905
-469360.4,-81.276
-469238.3,-90.636
-469116.2,-84.884
-468994.1,-84.978
-468872.1,-88.621
-468750.0,-84.411
-468627.9,-80.838
-468505.9,-81.803
-468383.8,-83.671
-468261.7,-87.864
-468139.6,-84.141
-468017.6,-84.388
-467895.5,-90.996
-467773.4,-83.429
-467651.4,-86.621
-467529.3,-87.293
-467407.2,-87.187
-467285.2,-88.072
-467163.1,-80.147
-467041.0,-76.003
-466918.9,-77.998
-466796.9,-81.685
-466674.8,-84.983
-466552.7,-90.586
-466430.7,-89.991
